Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Jodhpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7550,9569
IIT Jodhpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),17068,18647
IIT Jodhpur,Physics with Specialization,4,Bachelor of Science,AI,OPEN,Gender-Neutral,11193,15185
IIT Jodhpur,Physics with Specialization,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),23924,25502
IIT Kanpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1973,3805
IIT Kanpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6160,9292
IIT Kanpur,Biological Sciences and Bioengineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3559,7105
IIT Kanpur,Biological Sciences and Bioengineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10629,14717
IIT Kanpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2785,4280
IIT Kanpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7856,8902
IIT Kanpur,Chemistry,4,Bachelor of Science,AI,OPEN,Gender-Neutral,8553,10482
IIT Kanpur,Chemistry,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),11132,18410
